,Event_type,Date,Province,Region
0,Inondations,2020-06-18,NAMENTENGA,NAMENTENGA
1,Inondations,2020-06-18,NAMENTENGA,NAMENTENGA
2,Inondations,2020-06-18,NAMENTENGA,NAMENTENGA
3,Inondations,2020-06-18,NAMENTENGA,NAMENTENGA
4,Inondations,2020-06-18,NAMENTENGA,NAMENTENGA
5,Inondations,2020-09-06,GANZOURGOU,GANZOURGOU
6,Inondations,2020-09-06,GANZOURGOU,GANZOURGOU
7,Inondations,2020-04-20,BAM,BAM
8,Inondations,2020-09-06,GANZOURGOU,GANZOURGOU
9,Vents violents,2020-04-22,BOUGOURIBA,BOUGOURIBA
10,Vents violents,2020-04-22,BOUGOURIBA,BOUGOURIBA
11,Vents violents,2020-04-22,BOUGOURIBA,BOUGOURIBA
12,Vents violents,2020-05-01,KOURWEOGO,KOURWEOGO
13,Vents violents,2020-05-01,KOURWEOGO,KOURWEOGO
14,Vents violents,2020-05-01,KOURWEOGO,KOURWEOGO
15,Vents violents,2020-05-04,BAZEGA,BAZEGA
16,Vents violents,2020-05-04,BAZEGA,BAZEGA
17,Vents violents,2020-05-04,BAZEGA,BAZEGA
18,Vents violents,2020-06-07,BAZEGA,BAZEGA
19,Vents violents,2020-06-07,BAZEGA,BAZEGA
20,Vents violents,2020-06-07,BAZEGA,BAZEGA
21,Vents violents,2020-06-08,GANZOURGOU,GANZOURGOU
22,Vents violents,2020-06-08,GANZOURGOU,GANZOURGOU
23,Vents violents,2020-06-08,GANZOURGOU,GANZOURGOU
24,Vents violents,2020-06-08,GANZOURGOU,GANZOURGOU
25,Vent violent,2020-05-04,BAZEGA,BAZEGA
26,Vent violent,2020-05-04,BAZEGA,BAZEGA
27,Vent violent,2020-05-04,BAZEGA,BAZEGA
28,Vent violent,2020-05-04,BAZEGA,BAZEGA
29,Vent violent,2020-05-04,BAZEGA,BAZEGA
30,Vent violent,2020-05-04,BAZEGA,BAZEGA
31,Vent violent,2020-05-04,BAZEGA,BAZEGA
32,Vent violent,2020-05-04,BAZEGA,BAZEGA
33,Vent violent,2020-06-05,YATENGA,YATENGA
34,Vent violent,2020-06-05,YATENGA,YATENGA
35,Vent violent,2020-06-05,YATENGA,YATENGA
36,Inondations,2021-05-21,BAM,BAM
