Date,Regions,Internal Displced People
07/2018,nord,558
08/2018,centre-nord,3335
09/2018,centre-nord,669
01/2019,centre,0
,centre-nord,14964
,nord,2462
,sahel,64538
02/2019,centre,431
,centre-nord,27547
,nord,4072
,sahel,80007
03/2019,centre,431
,centre-nord,32542
,est,2529
,nord,5078
,sahel,95009
04/2019,centre-nord,200
,sahel,161017
05/2019,boucle du mouhoun,100
,centre,431
,centre-nord,53973
,est,3158
,nord,5578
,sahel,108754
06/2019,boucle du mouhoun,120
,cascades,268
,centre,1051
,centre-est,466
,centre-nord,80103
,centre-ouest,636
,centre-sud,113
,est,3584
,hauts-bassins,468
,nord,9978
,plateau central,272
,sahel,122473
,sud-ouest,224
07/2019,boucle du mouhoun,8577
,cascades,268
,centre,1051
,centre-est,129
,centre-nord,82660
,centre-ouest,636
,centre-sud,101
,est,3584
,hauts-bassins,558
,nord,10058
,plateau central,2429
,sahel,127477
,sud-ouest,241
08/2019,boucle du mouhoun,8577
,cascades,268
,centre,1051
,centre-est,145
,centre-nord,119798
,centre-ouest,636
,centre-sud,101
,est,10293
,hauts-bassins,558
,nord,14356
,plateau central,2573
,sahel,130353
,sud-ouest,285
09/2019,boucle du mouhoun,8577
,cascades,268
,centre,1051
,centre-est,145
,centre-nord,119798
,centre-ouest,636
,centre-sud,101
,est,10293
,hauts-bassins,558
,nord,14356
,plateau central,2598
,sahel,130925
,sud-ouest,285
10/2019,boucle du mouhoun,8588
,cascades,268
,centre,1051
,centre-est,145
,centre-nord,270476
,centre-ouest,635
,centre-sud,101
,est,10293
,hauts-bassins,558
,nord,31998
,plateau central,1222
,sahel,160741
,sud-ouest,284
12/2019,boucle du mouhoun,8737
,cascades,268
,centre,1051
,centre-est,555
,centre-nord,270476
,centre-ouest,635
,centre-sud,1773
,est,17484
,hauts-bassins,3510
,nord,38244
,plateau central,4718
,sahel,212298
,sud-ouest,284
01/2020,boucle du mouhoun,10662
,cascades,268
,centre,1051
,centre-est,555
,centre-nord,316812
,centre-ouest,635
,centre-sud,1773
,est,18329
,hauts-bassins,4011
,nord,42396
,plateau central,4718
,sahel,212298
,sud-ouest,284
02/2020,boucle du mouhoun,10662
,cascades,268
,centre,1051
,centre-est,13372
,centre-nord,383925
,centre-ouest,635
,centre-sud,1773
,est,18329
,hauts-bassins,4011
,nord,42396
,plateau central,5765
,sahel,283046
,sud-ouest,284
02/2020,boucle du mouhoun,11350
,cascades,268
,centre,1051
,centre-est,13372
,centre-nord,385107
,centre-ouest,635
,centre-sud,1773
,est,18329
,hauts-bassins,6365
,nord,52396
,plateau central,5765
,sahel,283046
,sud-ouest,284
03/2020,boucle du mouhoun,14548
,cascades,5845
,centre,1051
,centre-est,13372
,centre-nord,386701
,centre-ouest,635
,centre-sud,1773
,est,18329
,hauts-bassins,9788
,nord,62491
,plateau central,12589
,sahel,310059
,sud-ouest,1362
04/2020,boucle du mouhoun,15979
,cascades,5845
,centre,1051
,centre-est,13372
,centre-nord,387203
,centre-ouest,635
,centre-sud,1773
,est,20283
,hauts-bassins,10357
,nord,66659
,plateau central,13034
,sahel,310066
,sud-ouest,2072
06/2020,boucle du mouhoun,32036
,cascades,5845
,centre,1051
,centre-est,13387
,centre-nord,387203
,centre-ouest,4705
,centre-sud,1773
,est,65348
,hauts-bassins,11378
,nord,71784
,plateau central,13832
,sahel,310066
,sud-ouest,3063
07/2020,boucle du mouhoun,36834
,cascades,7529
,centre,1051
,centre-est,23392
,centre-nord,389501
,centre-ouest,4705
,centre-sud,2325
,est,65348
,hauts-bassins,11394
,nord,74114
,plateau central,14460
,sahel,344528
,sud-ouest,3563
08/2020,boucle du mouhoun,37015
,cascades,7729
,centre,1051
,centre-est,23392
,centre-nord,416136
,centre-ouest,11126
,centre-sud,2325
,est,66325
,hauts-bassins,11429
,nord,74114
,plateau central,14460
,sahel,344569
,sud-ouest,3563
09/2020,boucle du mouhoun,44859
,cascades,7729
,centre,1051
,centre-est,23392
,centre-nord,422267
,centre-ouest,11126
,centre-sud,2325
,est,66460
,hauts-bassins,18281
,nord,74527
,plateau central,14460
,sahel,344569
,sud-ouest,3563
11/2020,boucle du mouhoun,44921
,cascades,7783
,centre,1051
,centre-est,25533
,centre-nord,430191
,centre-ouest,11126
,centre-sud,2325
,est,68027
,hauts-bassins,19859
,nord,76218
,plateau central,14601
,sahel,344569
,sud-ouest,3563
12/2020,boucle du mouhoun,44902
,cascades,8098
,centre,1051
,centre-est,28446
,centre-nord,433597
,centre-ouest,11126
,centre-sud,4008
,est,71394
,hauts-bassins,20571
,nord,76953
,plateau central,15199
,sahel,352402
,sud-ouest,7246
01/2021,boucle du mouhoun,44899
,cascades,8253
,centre,1051
,centre-est,29142
,centre-nord,438557
,centre-ouest,11126
,centre-sud,4008
,est,78533
,hauts-bassins,20960
,nord,84697
,plateau central,15269
,sahel,353721
,sud-ouest,7246
02/2021,boucle du mouhoun,44899
,cascades,8253
,centre,1051
,centre-est,29142
,centre-nord,445869
,centre-ouest,11126
,centre-sud,4008
,est,84827
,hauts-bassins,21221
,nord,92826
,plateau central,15583
,sahel,355909
,sud-ouest,7246
03/2021,boucle du mouhoun,44913
,cascades,8629
,centre,1051
,centre-est,30888
,centre-nord,462690
,centre-ouest,11126
,centre-sud,4024
,est,89889
,hauts-bassins,21609
,nord,100254
,plateau central,16408
,sahel,347159
,sud-ouest,9059
04/2021,boucle du mouhoun,44913
,cascades,9875
,centre,1051
,centre-est,31258
,centre-nord,467738
,centre-ouest,11126
,centre-sud,4024
,est,96223
,hauts-bassins,21836
,nord,102295
,plateau central,16570
,sahel,402786
,sud-ouest,9059
05/2021,boucle du mouhoun,44942
,cascades,9980
,centre,1051
,centre-est,31741
,centre-nord,469442
,centre-ouest,11126
,centre-sud,4024
,est,98627
,hauts-bassins,22205
,nord,105536
,plateau central,16820
,sahel,428171
,sud-ouest,9751
