,Date,Regions,Internal Displced People
0,2018-07-01,nord,558
1,2018-08-01,centre-nord,3335
2,2018-09-01,centre-nord,669
3,2019-01-01,centre,0
7,2019-02-01,centre,431
11,2019-03-01,centre,431
16,2019-04-01,centre-nord,200
18,2019-05-01,boucle du mouhoun,100
24,2019-06-01,boucle du mouhoun,120
37,2019-07-01,boucle du mouhoun,8577
50,2019-08-01,boucle du mouhoun,8577
63,2019-09-01,boucle du mouhoun,8577
76,2019-10-01,boucle du mouhoun,8588
89,2019-12-01,boucle du mouhoun,8737
102,2020-01-01,boucle du mouhoun,10662
115,2020-02-01,boucle du mouhoun,10662
128,2020-02-01,boucle du mouhoun,11350
141,2020-03-01,boucle du mouhoun,14548
154,2020-04-01,boucle du mouhoun,15979
167,2020-06-01,boucle du mouhoun,32036
180,2020-07-01,boucle du mouhoun,36834
193,2020-08-01,boucle du mouhoun,37015
206,2020-09-01,boucle du mouhoun,44859
219,2020-11-01,boucle du mouhoun,44921
232,2020-12-01,boucle du mouhoun,44902
245,2021-01-01,boucle du mouhoun,44899
258,2021-02-01,boucle du mouhoun,44899
271,2021-03-01,boucle du mouhoun,44913
284,2021-04-01,boucle du mouhoun,44913
297,2021-05-01,boucle du mouhoun,44942
310,2021-06-01,boucle du mouhoun,45597
323,2021-07-01,boucle du mouhoun,46315
336,2021-08-01,boucle du mouhoun,47523
349,2021-09-01,boucle du mouhoun,47573
362,2021-10-01,boucle du mouhoun,47573
375,2021-11-01,boucle du mouhoun,50042
388,2021-12-01,boucle du mouhoun,50054
401,2022-01-01,boucle du mouhoun,57516
414,2022-02-01,boucle du mouhoun,62669
427,2022-03-01,boucle du mouhoun,77001
440,2022-04-01,boucle du mouhoun,80938
453,2022-04-01,boucle du mouhoun,72961
466,2022-09-01,boucle du mouhoun,83483
479,2022-10-01,boucle du mouhoun,84948
