,Date,Regions,Internal Displced People
0,2018-07-01,Nord,558
1,2018-08-01,Centre-Nord,3335
2,2018-09-01,Centre-Nord,669
3,2019-01-01,Centre,0
4,2019-01-01,Centre-Nord,14964
5,2019-01-01,Nord,2462
6,2019-01-01,Sahel,64538
7,2019-02-01,Centre,431
8,2019-02-01,Centre-Nord,27547
9,2019-02-01,Nord,4072
10,2019-02-01,Sahel,80007
11,2019-03-01,Centre,431
12,2019-03-01,Centre-Nord,32542
13,2019-03-01,Est,2529
14,2019-03-01,Nord,5078
15,2019-03-01,Sahel,95009
16,2019-04-01,Centre-Nord,200
17,2019-04-01,Sahel,161017
18,2019-05-01,Boucle du Mouhoun,100
19,2019-05-01,Centre,431
20,2019-05-01,Centre-Nord,53973
21,2019-05-01,Est,3158
22,2019-05-01,Nord,5578
23,2019-05-01,Sahel,108754
24,2019-06-01,Boucle du Mouhoun,120
25,2019-06-01,Cascades,268
26,2019-06-01,Centre,1051
27,2019-06-01,Centre-Est,466
28,2019-06-01,Centre-Nord,80103
29,2019-06-01,Centre-Ouest,636
30,2019-06-01,Centre-Sud,113
31,2019-06-01,Est,3584
32,2019-06-01,Hauts-Bassins,468
33,2019-06-01,Nord,9978
34,2019-06-01,Plateau Central,272
35,2019-06-01,Sahel,122473
36,2019-06-01,Sud-Ouest,224
37,2019-07-01,Boucle du Mouhoun,8577
38,2019-07-01,Cascades,268
39,2019-07-01,Centre,1051
40,2019-07-01,Centre-Est,129
41,2019-07-01,Centre-Nord,82660
42,2019-07-01,Centre-Ouest,636
43,2019-07-01,Centre-Sud,101
44,2019-07-01,Est,3584
45,2019-07-01,Hauts-Bassins,558
46,2019-07-01,Nord,10058
47,2019-07-01,Plateau Central,2429
48,2019-07-01,Sahel,127477
49,2019-07-01,Sud-Ouest,241
50,2019-08-01,Boucle du Mouhoun,8577
51,2019-08-01,Cascades,268
52,2019-08-01,Centre,1051
53,2019-08-01,Centre-Est,145
54,2019-08-01,Centre-Nord,119798
55,2019-08-01,Centre-Ouest,636
56,2019-08-01,Centre-Sud,101
57,2019-08-01,Est,10293
58,2019-08-01,Hauts-Bassins,558
59,2019-08-01,Nord,14356
60,2019-08-01,Plateau Central,2573
61,2019-08-01,Sahel,130353
62,2019-08-01,Sud-Ouest,285
63,2019-09-01,Boucle du Mouhoun,8577
64,2019-09-01,Cascades,268
65,2019-09-01,Centre,1051
66,2019-09-01,Centre-Est,145
67,2019-09-01,Centre-Nord,119798
68,2019-09-01,Centre-Ouest,636
69,2019-09-01,Centre-Sud,101
70,2019-09-01,Est,10293
71,2019-09-01,Hauts-Bassins,558
72,2019-09-01,Nord,14356
73,2019-09-01,Plateau Central,2598
74,2019-09-01,Sahel,130925
75,2019-09-01,Sud-Ouest,285
76,2019-10-01,Boucle du Mouhoun,8588
77,2019-10-01,Cascades,268
78,2019-10-01,Centre,1051
79,2019-10-01,Centre-Est,145
80,2019-10-01,Centre-Nord,270476
81,2019-10-01,Centre-Ouest,635
82,2019-10-01,Centre-Sud,101
83,2019-10-01,Est,10293
84,2019-10-01,Hauts-Bassins,558
85,2019-10-01,Nord,31998
86,2019-10-01,Plateau Central,1222
87,2019-10-01,Sahel,160741
88,2019-10-01,Sud-Ouest,284
89,2019-12-01,Boucle du Mouhoun,8737
90,2019-12-01,Cascades,268
91,2019-12-01,Centre,1051
92,2019-12-01,Centre-Est,555
93,2019-12-01,Centre-Nord,270476
94,2019-12-01,Centre-Ouest,635
95,2019-12-01,Centre-Sud,1773
96,2019-12-01,Est,17484
97,2019-12-01,Hauts-Bassins,3510
98,2019-12-01,Nord,38244
99,2019-12-01,Plateau Central,4718
100,2019-12-01,Sahel,212298
101,2019-12-01,Sud-Ouest,284
102,2020-01-01,Boucle du Mouhoun,10662
103,2020-01-01,Cascades,268
104,2020-01-01,Centre,1051
105,2020-01-01,Centre-Est,555
106,2020-01-01,Centre-Nord,316812
107,2020-01-01,Centre-Ouest,635
108,2020-01-01,Centre-Sud,1773
109,2020-01-01,Est,18329
110,2020-01-01,Hauts-Bassins,4011
111,2020-01-01,Nord,42396
112,2020-01-01,Plateau Central,4718
113,2020-01-01,Sahel,212298
114,2020-01-01,Sud-Ouest,284
115,2020-02-01,Boucle du Mouhoun,10662
116,2020-02-01,Cascades,268
117,2020-02-01,Centre,1051
118,2020-02-01,Centre-Est,13372
119,2020-02-01,Centre-Nord,383925
120,2020-02-01,Centre-Ouest,635
121,2020-02-01,Centre-Sud,1773
122,2020-02-01,Est,18329
123,2020-02-01,Hauts-Bassins,4011
124,2020-02-01,Nord,42396
125,2020-02-01,Plateau Central,5765
126,2020-02-01,Sahel,283046
127,2020-02-01,Sud-Ouest,284
128,2020-02-01,Boucle du Mouhoun,11350
129,2020-02-01,Cascades,268
130,2020-02-01,Centre,1051
131,2020-02-01,Centre-Est,13372
132,2020-02-01,Centre-Nord,385107
133,2020-02-01,Centre-Ouest,635
134,2020-02-01,Centre-Sud,1773
135,2020-02-01,Est,18329
136,2020-02-01,Hauts-Bassins,6365
