Date,Region,PDI
2018-07-24,Nord,558.0
2018-08-13,Centre-Nord,385.0
2018-08-28,Centre-Nord,2950.0
2018-09-24,Centre-Nord,669.0
2019-01-27,Centre,0.0
2019-01-27,Centre-Nord,14964.0
2019-01-27,Nord,2462.0
2019-01-27,Sahel,64538.0
2019-02-28,Centre,431.0
2019-02-28,Centre-Nord,27547.0
2019-02-28,Nord,4072.0
2019-02-28,Sahel,80007.0
2019-03-25,Centre,431.0
2019-03-25,Centre-Nord,32542.0
2019-03-25,Est,2529.0
2019-03-25,Nord,5078.0
2019-03-25,Sahel,95009.0
2019-04-30,Centre-Nord,200.0
2019-04-30,Sahel,161017.0
2019-05-24,Boucle du Mouhoun,100.0
2019-05-24,Centre,431.0
2019-05-24,Centre-Nord,53973.0
2019-05-24,Est,3158.0
2019-05-24,Nord,5578.0
2019-05-24,Sahel,108754.0
2019-06-30,Boucle du Mouhoun,120.0
2019-06-30,Cascades,268.0
2019-06-30,Centre,1051.0
2019-06-30,Centre-Est,466.0
2019-06-30,Centre-Nord,80103.0
2019-06-30,Centre-Ouest,636.0
2019-06-30,Centre-Sud,113.0
2019-06-30,Est,3584.0
2019-06-30,Hauts-Bassins,468.0
2019-06-30,Nord,9978.0
2019-06-30,Plateau Central,272.0
2019-06-30,Sahel,122473.0
2019-06-30,Sud-Ouest,224.0
2019-07-25,Boucle du Mouhoun,8577.0
2019-07-25,Cascades,268.0
2019-07-25,Centre,1051.0
2019-07-25,Centre-Est,129.0
2019-07-25,Centre-Nord,82660.0
2019-07-25,Centre-Ouest,636.0
2019-07-25,Centre-Sud,101.0
2019-07-25,Est,3584.0
2019-07-25,Hauts-Bassins,558.0
2019-07-25,Nord,10058.0
2019-07-25,Plateau Central,2429.0
2019-07-25,Sahel,127477.0
2019-07-25,Sud-Ouest,241.0
2019-08-30,Boucle du Mouhoun,8577.0
2019-08-30,Cascades,268.0
2019-08-30,Centre,1051.0
2019-08-30,Centre-Est,145.0
2019-08-30,Centre-Nord,119798.0
2019-08-30,Centre-Ouest,636.0
2019-08-30,Centre-Sud,101.0
2019-08-30,Est,10293.0
