,Date,Region,PDI
0,2018-07,Nord,558.0
1,2018-08,Centre-Nord,385.0
2,2018-08,Centre-Nord,2950.0
3,2018-09,Centre-Nord,669.0
4,2019-01,Centre,0.0
5,2019-01,Centre-Nord,14964.0
6,2019-01,Nord,2462.0
7,2019-01,Sahel,64538.0
8,2019-02,Centre,431.0
9,2019-02,Centre-Nord,27547.0
10,2019-02,Nord,4072.0
11,2019-02,Sahel,80007.0
12,2019-03,Centre,431.0
13,2019-03,Centre-Nord,32542.0
14,2019-03,Est,2529.0
15,2019-03,Nord,5078.0
16,2019-03,Sahel,95009.0
17,2019-04,Centre-Nord,200.0
18,2019-04,Sahel,161017.0
19,2019-05,Boucle du Mouhoun,100.0
20,2019-05,Centre,431.0
21,2019-05,Centre-Nord,53973.0
22,2019-05,Est,3158.0
23,2019-05,Nord,5578.0
24,2019-05,Sahel,108754.0
25,2019-06,Boucle du Mouhoun,120.0
26,2019-06,Cascades,268.0
27,2019-06,Centre,1051.0
28,2019-06,Centre-Est,466.0
29,2019-06,Centre-Nord,80103.0
30,2019-06,Centre-Ouest,636.0
31,2019-06,Centre-Sud,113.0
32,2019-06,Est,3584.0
33,2019-06,Hauts-Bassins,468.0
34,2019-06,Nord,9978.0
35,2019-06,Plateau Central,272.0
36,2019-06,Sahel,122473.0
37,2019-06,Sud-Ouest,224.0
38,2019-07,Boucle du Mouhoun,8577.0
39,2019-07,Cascades,268.0
40,2019-07,Centre,1051.0
41,2019-07,Centre-Est,129.0
42,2019-07,Centre-Nord,82660.0
43,2019-07,Centre-Ouest,636.0
44,2019-07,Centre-Sud,101.0
45,2019-07,Est,3584.0
46,2019-07,Hauts-Bassins,558.0
47,2019-07,Nord,10058.0
48,2019-07,Plateau Central,2429.0
49,2019-07,Sahel,127477.0
50,2019-07,Sud-Ouest,241.0
51,2019-08,Boucle du Mouhoun,8577.0
52,2019-08,Cascades,268.0
53,2019-08,Centre,1051.0
54,2019-08,Centre-Est,145.0
55,2019-08,Centre-Nord,119798.0
56,2019-08,Centre-Ouest,636.0
57,2019-08,Centre-Sud,101.0
58,2019-08,Est,10293.0
59,2019-08,Hauts-Bassins,558.0
60,2019-08,Nord,14356.0
61,2019-08,Plateau Central,2573.0
62,2019-08,Sahel,130353.0
63,2019-08,Sud-Ouest,285.0
64,2019-09,Boucle du Mouhoun,8577.0
65,2019-09,Cascades,268.0
66,2019-09,Centre,1051.0
67,2019-09,Centre-Est,145.0
68,2019-09,Centre-Nord,119798.0
69,2019-09,Centre-Ouest,636.0
