,Location,Date,Precipitation(mm)
0,Bobo-Dioulasso,1991-01-01,0.0
1,Bobo-Dioulasso,1991-02-01,40.1
2,Bobo-Dioulasso,1991-03-01,86.5
3,Bobo-Dioulasso,1991-04-01,37.9
4,Bobo-Dioulasso,1991-05-01,180.0
5,Bobo-Dioulasso,1991-06-01,146.9
6,Bobo-Dioulasso,1991-07-01,246.1
7,Bobo-Dioulasso,1991-08-01,292.9
8,Bobo-Dioulasso,1991-09-01,96.8
9,Bobo-Dioulasso,1991-10-01,70.9
10,Bobo-Dioulasso,1991-11-01,0.0
11,Bobo-Dioulasso,1991-12-01,0.0
12,Bobo-Dioulasso,1992-01-01,2.5
13,Bobo-Dioulasso,1992-02-01,0.0
14,Bobo-Dioulasso,1992-03-01,0.0
15,Bobo-Dioulasso,1992-04-01,26.0
16,Bobo-Dioulasso,1992-05-01,127.0
17,Bobo-Dioulasso,1992-06-01,258.2
18,Bobo-Dioulasso,1992-07-01,209.3
19,Bobo-Dioulasso,1992-08-01,360.1
20,Bobo-Dioulasso,1992-09-01,153.6
21,Bobo-Dioulasso,1992-10-01,58.2
22,Bobo-Dioulasso,1992-11-01,45.8
23,Bobo-Dioulasso,1992-12-01,0.0
24,Bobo-Dioulasso,1993-01-01,0.0
25,Bobo-Dioulasso,1993-02-01,0.3
26,Bobo-Dioulasso,1993-03-01,5.0
27,Bobo-Dioulasso,1993-04-01,18.5
28,Bobo-Dioulasso,1993-05-01,96.6
29,Bobo-Dioulasso,1993-06-01,109.2
30,Bobo-Dioulasso,1993-07-01,220.4
31,Bobo-Dioulasso,1993-08-01,253.4
32,Bobo-Dioulasso,1993-09-01,173.3
33,Bobo-Dioulasso,1993-10-01,57.6
34,Bobo-Dioulasso,1993-11-01,0.0
35,Bobo-Dioulasso,1993-12-01,0.0
36,Bobo-Dioulasso,1994-01-01,1.7
37,Bobo-Dioulasso,1994-02-01,0.0
38,Bobo-Dioulasso,1994-03-01,19.7
39,Bobo-Dioulasso,1994-04-01,12.6
40,Bobo-Dioulasso,1994-05-01,71.4
41,Bobo-Dioulasso,1994-06-01,104.0
42,Bobo-Dioulasso,1994-07-01,159.2
43,Bobo-Dioulasso,1994-08-01,301.0
44,Bobo-Dioulasso,1994-09-01,178.0
45,Bobo-Dioulasso,1994-10-01,109.9
46,Bobo-Dioulasso,1994-11-01,0.9
47,Bobo-Dioulasso,1994-12-01,0.0
48,Bobo-Dioulasso,1995-01-01,0.0
49,Bobo-Dioulasso,1995-02-01,0.0
50,Bobo-Dioulasso,1995-03-01,31.0
51,Bobo-Dioulasso,1995-04-01,160.4
52,Bobo-Dioulasso,1995-05-01,116.8
53,Bobo-Dioulasso,1995-06-01,215.2
54,Bobo-Dioulasso,1995-07-01,209.2
55,Bobo-Dioulasso,1995-08-01,310.7
56,Bobo-Dioulasso,1995-09-01,176.3
57,Bobo-Dioulasso,1995-10-01,32.6
58,Bobo-Dioulasso,1995-11-01,27.4
59,Bobo-Dioulasso,1995-12-01,5.2
60,Bobo-Dioulasso,1996-01-01,0.0
61,Bobo-Dioulasso,1996-02-01,3.2
62,Bobo-Dioulasso,1996-03-01,21.5
63,Bobo-Dioulasso,1996-04-01,78.2
64,Bobo-Dioulasso,1996-05-01,118.1
65,Bobo-Dioulasso,1996-06-01,126.6
66,Bobo-Dioulasso,1996-07-01,131.8
67,Bobo-Dioulasso,1996-08-01,230.1
68,Bobo-Dioulasso,1996-09-01,154.0
69,Bobo-Dioulasso,1996-10-01,35.9
70,Bobo-Dioulasso,1996-11-01,0.0
