,Location,Date,Temperature(°C)
0,Bobo-Dioulasso,1991-01-01,26.7
1,Bobo-Dioulasso,1991-02-01,28.9
2,Bobo-Dioulasso,1991-03-01,30.5
3,Bobo-Dioulasso,1991-04-01,30.3
4,Bobo-Dioulasso,1991-05-01,27.6
5,Bobo-Dioulasso,1991-06-01,27.3
6,Bobo-Dioulasso,1991-07-01,25.4
7,Bobo-Dioulasso,1991-08-01,25.0
8,Bobo-Dioulasso,1991-09-01,26.3
9,Bobo-Dioulasso,1991-10-01,26.5
10,Bobo-Dioulasso,1991-11-01,27.3
11,Bobo-Dioulasso,1991-12-01,25.4
12,Bobo-Dioulasso,1992-01-01,24.1
13,Bobo-Dioulasso,1992-02-01,28.9
14,Bobo-Dioulasso,1992-03-01,30.2
15,Bobo-Dioulasso,1992-04-01,31.0
16,Bobo-Dioulasso,1992-05-01,29.0
17,Bobo-Dioulasso,1992-06-01,26.1
18,Bobo-Dioulasso,1992-07-01,25.2
19,Bobo-Dioulasso,1992-08-01,25.1
20,Bobo-Dioulasso,1992-09-01,25.9
21,Bobo-Dioulasso,1992-10-01,27.2
22,Bobo-Dioulasso,1992-11-01,25.9
23,Bobo-Dioulasso,1992-12-01,26.3
24,Bobo-Dioulasso,1993-01-01,24.3
25,Bobo-Dioulasso,1993-02-01,28.5
26,Bobo-Dioulasso,1993-03-01,30.4
27,Bobo-Dioulasso,1993-04-01,30.9
28,Bobo-Dioulasso,1993-05-01,30.0
29,Bobo-Dioulasso,1993-06-01,27.5
30,Bobo-Dioulasso,1993-07-01,25.7
31,Bobo-Dioulasso,1993-08-01,25.5
32,Bobo-Dioulasso,1993-09-01,25.7
33,Bobo-Dioulasso,1993-10-01,27.3
34,Bobo-Dioulasso,1993-11-01,28.3
35,Bobo-Dioulasso,1993-12-01,25.8
36,Bobo-Dioulasso,1994-01-01,25.0
37,Bobo-Dioulasso,1994-02-01,28.3
38,Bobo-Dioulasso,1994-03-01,30.5
39,Bobo-Dioulasso,1994-04-01,31.3
40,Bobo-Dioulasso,1994-05-01,29.7
41,Bobo-Dioulasso,1994-06-01,27.6
42,Bobo-Dioulasso,1994-07-01,25.8
43,Bobo-Dioulasso,1994-08-01,24.7
44,Bobo-Dioulasso,1994-09-01,25.6
45,Bobo-Dioulasso,1994-10-01,26.2
46,Bobo-Dioulasso,1994-11-01,26.8
47,Bobo-Dioulasso,1994-12-01,24.9
48,Bobo-Dioulasso,1995-01-01,24.0
49,Bobo-Dioulasso,1995-02-01,27.1
50,Bobo-Dioulasso,1995-03-01,31.2
51,Bobo-Dioulasso,1995-04-01,29.8
52,Bobo-Dioulasso,1995-05-01,28.8
53,Bobo-Dioulasso,1995-06-01,27.1
54,Bobo-Dioulasso,1995-07-01,25.9
55,Bobo-Dioulasso,1995-08-01,25.2
56,Bobo-Dioulasso,1995-09-01,26.0
57,Bobo-Dioulasso,1995-10-01,27.3
58,Bobo-Dioulasso,1995-11-01,27.2
59,Bobo-Dioulasso,1995-12-01,26.5
60,Bobo-Dioulasso,1996-01-01,27.8
61,Bobo-Dioulasso,1996-02-01,29.6
62,Bobo-Dioulasso,1996-03-01,30.9
63,Bobo-Dioulasso,1996-04-01,30.3
64,Bobo-Dioulasso,1996-05-01,28.8
65,Bobo-Dioulasso,1996-06-01,26.8
66,Bobo-Dioulasso,1996-07-01,25.9
