Date,Region,Event
2018-01,Centre,Protests
2018-01,Centre-Est,Riots
2018-01,Centre-Nord,Protests
2018-01,Centre-Sud,Protests
2018-01,Hauts-Bassins,Protests
2018-01,Plateau-Central,Riots
2018-01,Sahel,Battles
2018-01,Sahel,Strategic developments
2018-01,Sahel,Violence against civilians
2018-02,Centre-Nord,Riots
2018-02,Est,Battles
2018-02,Est,Protests
2018-02,Est,Riots
2018-02,Nord,Strategic developments
2018-02,Sahel,Battles
2018-02,Sahel,Strategic developments
2018-02,Sahel,Violence against civilians
2018-03,Boucle du Mouhoun,Battles
2018-03,Centre,Battles
2018-03,Centre,Riots
2018-03,Centre-Est,Strategic developments
2018-03,Est,Battles
2018-03,Est,Explosions/Remote violence
2018-03,Est,Protests
2018-03,Hauts-Bassins,Explosions/Remote violence
2018-03,Sahel,Violence against civilians
2018-04,Boucle du Mouhoun,Battles
2018-04,Boucle du Mouhoun,Violence against civilians
2018-04,Centre,Protests
2018-04,Est,Battles
2018-04,Est,Strategic developments
2018-04,Est,Violence against civilians
2018-04,Hauts-Bassins,Protests
2018-04,Nord,Protests
2018-04,Nord,Violence against civilians
2018-04,Sahel,Battles
2018-04,Sahel,Explosions/Remote violence
2018-04,Sahel,Protests
2018-04,Sahel,Strategic developments
2018-04,Sahel,Violence against civilians
2018-05,Cascades,Protests
2018-05,Centre,Battles
2018-05,Centre,Protests
2018-05,Centre,Violence against civilians
2018-05,Centre-Nord,Riots
2018-05,Centre-Nord,Strategic developments
2018-05,Centre-Nord,Violence against civilians
2018-05,Centre-Sud,Protests
2018-05,Est,Riots
2018-05,Nord,Riots
2018-05,Sahel,Battles
2018-05,Sahel,Strategic developments
2018-05,Sahel,Violence against civilians
2018-06,Centre,Protests
2018-06,Centre,Riots
2018-06,Centre,Violence against civilians
2018-06,Centre-Est,Battles
2018-06,Est,Battles
2018-06,Est,Violence against civilians
2018-06,Nord,Violence against civilians
2018-06,Sahel,Explosions/Remote violence
2018-06,Sahel,Strategic developments
2018-06,Sahel,Violence against civilians
2018-06,Sud-Ouest,Protests
2018-07,Est,Battles
2018-07,Est,Strategic developments
2018-07,Est,Violence against civilians
2018-07,Hauts-Bassins,Protests
2018-07,Sahel,Battles
2018-07,Sahel,Violence against civilians
2018-08,Boucle du Mouhoun,Battles
2018-08,Centre-Est,Riots
2018-08,Centre-Nord,Explosions/Remote violence
2018-08,Centre-Nord,Violence against civilians
2018-08,Est,Battles
2018-08,Est,Explosions/Remote violence
2018-08,Est,Strategic developments
2018-08,Hauts-Bassins,Protests
2018-08,Hauts-Bassins,Riots
2018-08,Hauts-Bassins,Strategic developments
2018-08,Hauts-Bassins,Violence against civilians
2018-08,Nord,Battles
2018-08,Nord,Protests
2018-08,Sahel,Explosions/Remote violence
2018-08,Sahel,Violence against civilians
2018-08,Sud-Ouest,Battles
2018-09,Cascades,Strategic developments
2018-09,Centre,Protests
2018-09,Centre,Riots
2018-09,Centre-Est,Violence against civilians
2018-09,Centre-Ouest,Battles
2018-09,Est,Battles
2018-09,Est,Explosions/Remote violence
2018-09,Est,Riots
2018-09,Est,Strategic developments
2018-09,Est,Violence against civilians
2018-09,Hauts-Bassins,Battles
2018-09,Hauts-Bassins,Protests
2018-09,Hauts-Bassins,Violence against civilians
2018-09,Nord,Violence against civilians
2018-09,Plateau-Central,Strategic developments
2018-09,Sahel,Battles
2018-09,Sahel,Explosions/Remote violence
2018-09,Sahel,Strategic developments
2018-09,Sahel,Violence against civilians
2018-09,Sud-Ouest,Battles
2018-09,Sud-Ouest,Strategic developments
2018-09,Sud-Ouest,Violence against civilians
2018-10,Boucle du Mouhoun,Battles
2018-10,Boucle du Mouhoun,Riots
2018-10,Cascades,Battles
2018-10,Cascades,Protests
2018-10,Centre,Protests
2018-10,Centre,Strategic developments
2018-10,Centre-Ouest,Protests
2018-10,Centre-Sud,Protests
2018-10,Est,Explosions/Remote violence
2018-10,Est,Strategic developments
2018-10,Est,Violence against civilians
2018-10,Hauts-Bassins,Protests
2018-10,Nord,Battles
2018-10,Nord,Strategic developments
2018-10,Nord,Violence against civilians
2018-10,Plateau-Central,Protests
2018-10,Sahel,Battles
2018-10,Sahel,Explosions/Remote violence
2018-10,Sahel,Strategic developments
2018-10,Sahel,Violence against civilians
2018-10,Sud-Ouest,Battles
2018-10,Sud-Ouest,Protests
2018-10,Sud-Ouest,Strategic developments
2018-11,Boucle du Mouhoun,Battles
2018-11,Boucle du Mouhoun,Protests
2018-11,Boucle du Mouhoun,Riots
2018-11,Boucle du Mouhoun,Violence against civilians
2018-11,Cascades,Protests
2018-11,Centre,Battles
2018-11,Centre,Protests
2018-11,Centre,Riots
2018-11,Centre,Violence against civilians
2018-11,Centre-Est,Battles
2018-11,Centre-Est,Protests
2018-11,Centre-Est,Riots
2018-11,Centre-Est,Strategic developments
2018-11,Centre-Nord,Battles
2018-11,Centre-Nord,Protests
2018-11,Centre-Ouest,Battles
2018-11,Centre-Ouest,Protests
2018-11,Est,Battles
2018-11,Est,Protests
2018-11,Est,Strategic developments
2018-11,Est,Violence against civilians
