Date,Region,Battles,Explosions/Remote violence,Protests,Riots,Strategic developments,Violence against civilians
2018-01,Centre,0,0,1,0,0,0
2018-01,Centre-Est,0,0,0,1,0,0
2018-01,Centre-Nord,0,0,1,0,0,0
2018-01,Centre-Sud,0,0,1,0,0,0
2018-01,Hauts-Bassins,0,0,1,0,0,0
2018-01,Plateau-Central,0,0,0,1,0,0
2018-01,Sahel,1,0,0,0,1,1
2018-02,Centre-Nord,0,0,0,1,0,0
2018-02,Est,1,0,1,1,0,0
2018-02,Nord,0,0,0,0,1,0
2018-02,Sahel,1,0,0,0,1,1
2018-03,Boucle du Mouhoun,1,0,0,0,0,0
2018-03,Centre,1,0,0,1,0,0
2018-03,Centre-Est,0,0,0,0,1,0
2018-03,Est,1,1,1,0,0,0
2018-03,Hauts-Bassins,0,1,0,0,0,0
2018-03,Sahel,0,0,0,0,0,1
2018-04,Boucle du Mouhoun,1,0,0,0,0,1
2018-04,Centre,0,0,1,0,0,0
2018-04,Est,1,0,0,0,1,1
2018-04,Hauts-Bassins,0,0,1,0,0,0
2018-04,Nord,0,0,1,0,0,1
2018-04,Sahel,1,1,1,0,1,1
2018-05,Cascades,0,0,1,0,0,0
2018-05,Centre,1,0,1,0,0,1
2018-05,Centre-Nord,0,0,0,1,1,1
2018-05,Centre-Sud,0,0,1,0,0,0
2018-05,Est,0,0,0,1,0,0
2018-05,Nord,0,0,0,1,0,0
2018-05,Sahel,1,0,0,0,1,1
2018-06,Centre,0,0,1,1,0,1
2018-06,Centre-Est,1,0,0,0,0,0
2018-06,Est,1,0,0,0,0,1
2018-06,Nord,0,0,0,0,0,1
2018-06,Sahel,0,1,0,0,1,1
2018-06,Sud-Ouest,0,0,1,0,0,0
2018-07,Est,1,0,0,0,1,1
2018-07,Hauts-Bassins,0,0,1,0,0,0
2018-07,Sahel,1,0,0,0,0,1
2018-08,Boucle du Mouhoun,1,0,0,0,0,0
2018-08,Centre-Est,0,0,0,1,0,0
2018-08,Centre-Nord,0,1,0,0,0,1
2018-08,Est,1,1,0,0,1,0
2018-08,Hauts-Bassins,0,0,1,1,1,1
2018-08,Nord,1,0,1,0,0,0
2018-08,Sahel,0,1,0,0,0,1
2018-08,Sud-Ouest,1,0,0,0,0,0
2018-09,Cascades,0,0,0,0,1,0
2018-09,Centre,0,0,1,1,0,0
2018-09,Centre-Est,0,0,0,0,0,1
2018-09,Centre-Ouest,1,0,0,0,0,0
2018-09,Est,1,1,0,1,1,1
2018-09,Hauts-Bassins,1,0,1,0,0,1
2018-09,Nord,0,0,0,0,0,1
2018-09,Plateau-Central,0,0,0,0,1,0
2018-09,Sahel,1,1,0,0,1,1
2018-09,Sud-Ouest,1,0,0,0,1,1
2018-10,Boucle du Mouhoun,1,0,0,1,0,0
2018-10,Cascades,1,0,1,0,0,0
2018-10,Centre,0,0,1,0,1,0
2018-10,Centre-Ouest,0,0,1,0,0,0
2018-10,Centre-Sud,0,0,1,0,0,0
2018-10,Est,0,1,0,0,1,1
