"EVENT_DATE","ADMIN1","EVENT_TYPE"
"01-2018","Sahel","Battles"
"01-2018","Hauts-Bassins","Protests"
"01-2018","Sahel","Strategic developments"
"01-2018","Centre-Nord","Protests"
"01-2018","Centre","Protests"
"01-2018","Plateau-Central","Riots"
"01-2018","Sahel","Violence against civilians"
"01-2018","Centre-Est","Riots"
"01-2018","Plateau-Central","Riots"
"01-2018","Centre-Sud","Protests"
"01-2018","Sahel","Battles"
"02-2018","Nord","Strategic developments"
"02-2018","Sahel","Violence against civilians"
"02-2018","Est","Protests"
"02-2018","Est","Protests"
"02-2018","Sahel","Battles"
"02-2018","Sahel","Violence against civilians"
"02-2018","Centre-Nord","Riots"
"02-2018","Sahel","Strategic developments"
"02-2018","Est","Battles"
"02-2018","Est","Riots"
"03-2018","Centre","Battles"
"03-2018","Centre","Battles"
"03-2018","Est","Battles"
"03-2018","Est","Protests"
"03-2018","Est","Battles"
"03-2018","Sahel","Violence against civilians"
"03-2018","Centre","Riots"
"03-2018","Est","Explosions/Remote violence"
"03-2018","Centre","Battles"
"03-2018","Sahel","Violence against civilians"
"03-2018","Est","Battles"
"03-2018","Boucle du Mouhoun","Battles"
"03-2018","Centre-Est","Strategic developments"
"03-2018","Sahel","Violence against civilians"
"03-2018","Sahel","Violence against civilians"
"03-2018","Hauts-Bassins","Explosions/Remote violence"
"03-2018","Est","Battles"
"03-2018","Est","Protests"
"04-2018","Est","Strategic developments"
"04-2018","Nord","Violence against civilians"
"04-2018","Sahel","Violence against civilians"
"04-2018","Centre","Protests"
"04-2018","Sahel","Violence against civilians"
"04-2018","Sahel","Violence against civilians"
"04-2018","Nord","Protests"
"04-2018","Boucle du Mouhoun","Violence against civilians"
"04-2018","Sahel","Explosions/Remote violence"
"04-2018","Sahel","Violence against civilians"
"04-2018","Sahel","Violence against civilians"
"04-2018","Sahel","Violence against civilians"
"04-2018","Est","Battles"
"04-2018","Centre","Protests"
"04-2018","Hauts-Bassins","Protests"
"04-2018","Centre","Protests"
"04-2018","Sahel","Violence against civilians"
"04-2018","Sahel","Battles"
"04-2018","Sahel","Strategic developments"
"04-2018","Est","Battles"
"04-2018","Sahel","Strategic developments"
"04-2018","Sahel","Protests"
"04-2018","Centre","Protests"
"04-2018","Sahel","Violence against civilians"
"04-2018","Sahel","Violence against civilians"
"04-2018","Nord","Protests"
"04-2018","Est","Violence against civilians"
"04-2018","Boucle du Mouhoun","Battles"
"05-2018","Centre-Nord","Violence against civilians"
"05-2018","Centre-Nord","Strategic developments"
"05-2018","Sahel","Violence against civilians"
"05-2018","Sahel","Battles"
"05-2018","Sahel","Violence against civilians"
"05-2018","Sahel","Battles"
"05-2018","Centre-Nord","Riots"
"05-2018","Est","Riots"
"05-2018","Centre","Protests"
"05-2018","Sahel","Battles"
"05-2018","Cascades","Protests"
"05-2018","Sahel","Violence against civilians"
"05-2018","Sahel","Violence against civilians"
"05-2018","Sahel","Violence against civilians"
"05-2018","Sahel","Violence against civilians"
"05-2018","Nord","Riots"
"05-2018","Centre","Battles"
"05-2018","Centre","Battles"
"05-2018","Sahel","Violence against civilians"
"05-2018","Centre","Violence against civilians"
"05-2018","Centre","Protests"
"05-2018","Centre-Sud","Protests"
"05-2018","Sahel","Strategic developments"
"06-2018","Centre","Protests"
"06-2018","Centre","Riots"
"06-2018","Sahel","Violence against civilians"
"06-2018","Sud-Ouest","Protests"
"06-2018","Centre","Protests"
"06-2018","Centre","Protests"
"06-2018","Centre","Protests"
"06-2018","Centre","Violence against civilians"
"06-2018","Est","Violence against civilians"
"06-2018","Sahel","Strategic developments"
"06-2018","Centre-Est","Battles"
"06-2018","Sahel","Explosions/Remote violence"
"06-2018","Est","Battles"
"06-2018","Centre","Protests"
"06-2018","Nord","Violence against civilians"
"07-2018","Est","Strategic developments"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Battles"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"07-2018","Sahel","Battles"
"07-2018","Est","Battles"
"07-2018","Sahel","Battles"
"07-2018","Est","Battles"
"07-2018","Hauts-Bassins","Protests"
"07-2018","Est","Violence against civilians"
"07-2018","Sahel","Violence against civilians"
"08-2018","Hauts-Bassins","Strategic developments"
"08-2018","Est","Battles"
"08-2018","Nord","Protests"
"08-2018","Est","Battles"
"08-2018","Centre-Nord","Violence against civilians"
"08-2018","Est","Strategic developments"
"08-2018","Centre-Est","Riots"
"08-2018","Hauts-Bassins","Protests"
"08-2018","Hauts-Bassins","Violence against civilians"
"08-2018","Boucle du Mouhoun","Battles"
"08-2018","Sahel","Explosions/Remote violence"
"08-2018","Hauts-Bassins","Riots"
"08-2018","Sud-Ouest","Battles"
"08-2018","Nord","Battles"
"08-2018","Nord","Battles"
"08-2018","Centre-Nord","Explosions/Remote violence"
"08-2018","Est","Battles"
"08-2018","Est","Explosions/Remote violence"
"08-2018","Est","Strategic developments"
"08-2018","Sahel","Violence against civilians"
"08-2018","Hauts-Bassins","Protests"
"09-2018","Sud-Ouest","Battles"
"09-2018","Hauts-Bassins","Violence against civilians"
"09-2018","Hauts-Bassins","Protests"
"09-2018","Est","Battles"
"09-2018","Est","Explosions/Remote violence"
"09-2018","Hauts-Bassins","Protests"
"09-2018","Sahel","Battles"
"09-2018","Est","Strategic developments"
"09-2018","Est","Strategic developments"
"09-2018","Sahel","Explosions/Remote violence"
"09-2018","Est","Strategic developments"
"09-2018","Sud-Ouest","Violence against civilians"
"09-2018","Est","Strategic developments"
"09-2018","Est","Violence against civilians"
"09-2018","Est","Violence against civilians"
"09-2018","Est","Riots"
"09-2018","Est","Strategic developments"
"09-2018","Hauts-Bassins","Battles"
"09-2018","Centre-Est","Violence against civilians"
"09-2018","Est","Battles"
"09-2018","Est","Strategic developments"
"09-2018","Sahel","Violence against civilians"
"09-2018","Sahel","Violence against civilians"
"09-2018","Est","Explosions/Remote violence"
"09-2018","Sud-Ouest","Strategic developments"
"09-2018","Est","Violence against civilians"
"09-2018","Est","Explosions/Remote violence"
"09-2018","Est","Violence against civilians"
"09-2018","Sahel","Violence against civilians"
"09-2018","Sahel","Violence against civilians"
"09-2018","Nord","Violence against civilians"
"09-2018","Centre-Ouest","Battles"
"09-2018","Sahel","Battles"
"09-2018","Sahel","Violence against civilians"
"09-2018","Sahel","Violence against civilians"
"09-2018","Sahel","Strategic developments"
"09-2018","Sahel","Violence against civilians"
"09-2018","Sahel","Violence against civilians"
"09-2018","Est","Violence against civilians"
"09-2018","Est","Violence against civilians"
"09-2018","Centre","Riots"
"09-2018","Centre","Protests"
"09-2018","Sahel","Explosions/Remote violence"
"09-2018","Plateau-Central","Strategic developments"
"09-2018","Sahel","Violence against civilians"
"09-2018","Cascades","Strategic developments"
"09-2018","Centre","Protests"
"09-2018","Est","Violence against civilians"
"09-2018","Sahel","Strategic developments"
"09-2018","Est","Battles"
"10-2018","Hauts-Bassins","Protests"
"10-2018","Est","Strategic developments"
"10-2018","Sahel","Battles"
"10-2018","Sahel","Explosions/Remote violence"
"10-2018","Est","Explosions/Remote violence"
"10-2018","Sahel","Violence against civilians"
"10-2018","Centre","Protests"
"10-2018","Cascades","Protests"
"10-2018","Nord","Battles"
"10-2018","Sahel","Battles"
"10-2018","Est","Explosions/Remote violence"
"10-2018","Hauts-Bassins","Protests"
"10-2018","Sahel","Strategic developments"
"10-2018","Centre","Protests"
