Date of Events,Number of Conflicts
01-2018,11
02-2018,10
03-2018,18
04-2018,28
05-2018,23
06-2018,15
07-2018,16
08-2018,21
09-2018,50
10-2018,60
11-2018,87
12-2018,62
01-2019,92
02-2019,72
03-2019,67
04-2019,101
05-2019,84
06-2019,70
07-2019,77
08-2019,61
09-2019,60
10-2019,81
11-2019,60
12-2019,66
01-2020,84
02-2020,63
03-2020,90
04-2020,82
05-2020,98
06-2020,67
07-2020,89
08-2020,78
09-2020,81
10-2020,55
11-2020,48
12-2020,42
01-2021,76
02-2021,72
03-2021,71
04-2021,118
05-2021,175
06-2021,165
07-2021,191
08-2021,155
09-2021,144
10-2021,262
11-2021,200
12-2021,234
01-2022,246
02-2022,331
03-2022,260
04-2022,207
05-2022,226
06-2022,190
07-2022,225
08-2022,213
09-2022,187
10-2022,238
11-2022,20
12-2022,217
