,Year,Region,EVENT_TYPE,SUM_CONFLICTS
0,2018,Boucle du Mouhoun,Demonstrations,6
1,2018,Boucle du Mouhoun,Non-violent actions,1
2,2018,Boucle du Mouhoun,Violent events,15
3,2018,Cascades,Demonstrations,5
4,2018,Cascades,Non-violent actions,1
5,2018,Cascades,Violent events,1
6,2018,Centre,Demonstrations,32
7,2018,Centre,Non-violent actions,4
8,2018,Centre,Violent events,11
9,2018,Centre-Est,Demonstrations,6
10,2018,Centre-Est,Non-violent actions,2
11,2018,Centre-Est,Violent events,3
12,2018,Centre-Nord,Demonstrations,5
13,2018,Centre-Nord,Non-violent actions,1
14,2018,Centre-Nord,Violent events,8
15,2018,Centre-Ouest,Demonstrations,4
16,2018,Centre-Ouest,Non-violent actions,0
17,2018,Centre-Ouest,Violent events,2
18,2018,Centre-Sud,Demonstrations,3
19,2018,Centre-Sud,Non-violent actions,0
20,2018,Centre-Sud,Violent events,0
21,2018,Est,Demonstrations,11
22,2018,Est,Non-violent actions,23
23,2018,Est,Violent events,50
24,2018,Haut-Bassins,Demonstrations,16
25,2018,Haut-Bassins,Non-violent actions,1
26,2018,Haut-Bassins,Violent events,7
27,2018,Nord,Demonstrations,13
28,2018,Nord,Non-violent actions,6
29,2018,Nord,Violent events,10
30,2018,Plateau-Central,Demonstrations,6
31,2018,Plateau-Central,Non-violent actions,1
32,2018,Plateau-Central,Violent events,0
33,2018,Sahel,Demonstrations,2
34,2018,Sahel,Non-violent actions,20
35,2018,Sahel,Violent events,108
36,2018,Sud-Ouest,Demonstrations,6
37,2018,Sud-Ouest,Non-violent actions,3
38,2018,Sud-Ouest,Violent events,8
39,2019,Boucle du Mouhoun,Demonstrations,6
40,2019,Boucle du Mouhoun,Non-violent actions,5
41,2019,Boucle du Mouhoun,Violent events,32
42,2019,Cascades,Demonstrations,3
43,2019,Cascades,Non-violent actions,1
44,2019,Cascades,Violent events,17
45,2019,Centre,Demonstrations,59
46,2019,Centre,Non-violent actions,3
47,2019,Centre,Violent events,4
48,2019,Centre-Est,Demonstrations,3
49,2019,Centre-Est,Non-violent actions,3
50,2019,Centre-Est,Violent events,16
51,2019,Centre-Nord,Demonstrations,8
52,2019,Centre-Nord,Non-violent actions,15
53,2019,Centre-Nord,Violent events,117
54,2019,Centre-Ouest,Demonstrations,3
55,2019,Centre-Ouest,Non-violent actions,0
56,2019,Centre-Ouest,Violent events,4
57,2019,Centre-Sud,Demonstrations,3
58,2019,Centre-Sud,Non-violent actions,0
59,2019,Centre-Sud,Violent events,6
60,2019,Est,Demonstrations,7
61,2019,Est,Non-violent actions,25
62,2019,Est,Violent events,95
63,2019,Hauts-Bassins,Demonstrations,25
64,2019,Hauts-Bassins,Non-violent actions,1
65,2019,Hauts-Bassins,Violent events,4
66,2019,Nord,Demonstrations,13
67,2019,Nord,Non-violent actions,6
68,2019,Nord,Violent events,59
69,2019,Plateau-Central,Demonstrations,6
70,2019,Plateau-Central,Non-violent actions,0
71,2019,Plateau-Central,Violent events,2
72,2019,Sahel,Demonstrations,1
73,2019,Sahel,Non-violent actions,48
74,2019,Sahel,Violent events,253
75,2019,Sud-Ouest,Demonstrations,26
76,2019,Sud-Ouest,Non-violent actions,1
77,2019,Sud-Ouest,Violent events,10
78,2020,Boucle du Mouhoun,Demonstrations,3
79,2020,Boucle du Mouhoun,Non-violent actions,7
80,2020,Boucle du Mouhoun,Violent events,41
81,2020,Cascades,Demonstrations,2
82,2020,Cascades,Non-violent actions,1
83,2020,Cascades,Violent events,15
84,2020,Centre,Demonstrations,30
85,2020,Centre,Non-violent actions,3
86,2020,Centre,Violent events,16
87,2020,Centre-Est,Demonstrations,4
88,2020,Centre-Est,Non-violent actions,0
89,2020,Centre-Est,Violent events,5
90,2020,Centre-Nord,Demonstrations,7
91,2020,Centre-Nord,Non-violent actions,9
92,2020,Centre-Nord,Violent events,67
93,2020,Centre-Ouest,Demonstrations,6
94,2020,Centre-Ouest,Non-violent actions,1
95,2020,Centre-Ouest,Violent events,1
96,2020,Centre-Sud,Demonstrations,0
97,2020,Centre-Sud,Non-violent actions,0
98,2020,Centre-Sud,Violent events,1
99,2020,Est,Demonstrations,13
100,2020,Est,Non-violent actions,46
101,2020,Est,Violent events,130
102,2020,Hauts-Bassins,Demonstrations,12
103,2020,Hauts-Bassins,Non-violent actions,1
104,2020,Hauts-Bassins,Violent events,7
105,2020,Nord,Demonstrations,3
106,2020,Nord,Non-violent actions,10
107,2020,Nord,Violent events,59
108,2020,Plateau-Central,Demonstrations,2
109,2020,Plateau-Central,Non-violent actions,0
110,2020,Plateau-Central,Violent events,0
111,2020,Sahel,Demonstrations,3
112,2020,Sahel,Non-violent actions,47
113,2020,Sahel,Violent events,306
114,2020,Sud-Ouest,Demonstrations,11
