"Region","Battles","Explosions/Remote violence","Protests","Riots","Strategic developments","Violence against civilians"
"Boucle du Mouhoun",97,77,17,7,213,145
"Cascades",66,38,11,7,23,47
"Centre",11,2,175,44,14,23
"Centre-Est",27,20,18,6,58,73
"Centre-Nord",203,127,41,22,221,263
"Centre-Ouest",7,0,24,3,13,11
"Centre-Sud",9,1,13,6,3,6
"Est",234,172,58,11,446,529
"Hauts-Bassins",28,2,70,23,23,25
"Nord",134,150,49,18,163,151
"Plateau-Central",0,0,15,5,1,2
"Sahel",475,364,30,3,312,756
"Sud-Ouest",32,11,48,10,20,30
