"Date","Idp"
2018-07-01,27347
2018-08-01,27571
2018-09-01,38982
2018-10-01,39731
2018-11-01,37367
2018-12-01,47826
2019-01-01,81964
2019-02-01,112057
2019-03-01,135589
2019-04-01,161217
2019-05-01,171994
2019-06-01,219756
2019-07-01,237769
2019-08-01,288994
2019-09-01,289591
2019-10-01,486360
2019-11-01,523196
2019-12-01,560033
2020-01-01,613792
2020-02-01,779741
2020-03-01,838543
2020-04-01,848329
2020-05-01,884900
2020-06-01,921471
2020-07-01,978744
2020-08-01,1013234
2020-09-01,1034609
2020-10-01,1042188
2020-11-01,1049767
2020-12-01,1074993
2021-01-01,1097462
2021-02-01,1121960
2021-03-01,1147699
2021-04-01,1218754
2021-05-01,1253416
2021-06-01,1312071
2021-07-01,1368164
2021-08-01,1423378
2021-09-01,1407685
2021-10-01,1481701
2021-11-01,1501775
2021-12-01,1579976
2022-01-01,1741655
2022-02-01,1814283
2022-03-01,1849298
2022-04-01,1520012
2022-05-01,1559876
2022-06-01,1599740
2022-07-01,1639604
2022-08-01,1679468
2022-09-01,1719332
2022-10-01,1761915
2022-11-01,1810105
2022-12-01,1882391
