,EVENT_DATE,Violent events,Demonstrations,Non-violent actions,Floods,Storms,Internal Displaced People
0,2018-07,14,1,1,18,3,27347
1,2018-08,13,5,3,211,4,27571
2,2018-09,33,6,11,33,0,38982
3,2018-10,31,17,12,3,0,39731
4,2018-11,37,35,15,0,0,37367
5,2018-12,36,15,11,0,0,47826
6,2019-01,53,35,4,0,0,81964
7,2019-02,40,16,16,0,0,112057
8,2019-03,51,8,8,0,0,135589
9,2019-04,72,21,8,0,3,161217
10,2019-05,43,28,13,4,0,171994
11,2019-06,46,14,10,0,0,219756
12,2019-07,59,3,15,21,0,237769
13,2019-08,45,9,7,11,3,288994
14,2019-09,42,9,9,9,0,289591
15,2019-10,63,10,8,0,0,486360
16,2019-11,54,1,5,0,0,523196
17,2019-12,51,9,6,0,0,560033
18,2020-01,64,8,12,0,0,613792
19,2020-02,53,8,2,0,0,779741
20,2020-03,61,21,8,0,0,838543
21,2020-04,58,7,17,1,3,848329
22,2020-05,83,6,9,0,14,884900
23,2020-06,47,7,13,5,10,921471
24,2020-07,57,10,22,0,0,978744
25,2020-08,52,8,18,0,0,1013234
26,2020-09,66,7,8,3,0,1034609
27,2020-10,47,4,4,0,0,1042188
28,2020-11,37,4,7,0,0,1049767
29,2020-12,31,6,5,0,0,1074993
30,2021-01,61,4,11,0,0,1097462
31,2021-02,50,7,15,0,3,1121960
32,2021-03,48,13,10,0,3,1147699
33,2021-04,88,11,19,0,3,1218754
34,2021-05,125,25,25,4,77,1253416
35,2021-06,129,11,25,6,17,1312071
36,2021-07,129,42,20,0,0,1368164
37,2021-08,123,16,16,60,0,1423378
38,2021-09,103,10,31,11,0,1407685
39,2021-10,202,9,51,3,0,1481701
40,2021-11,102,36,62,0,0,1501775
41,2021-12,164,11,59,0,0,1579976
42,2022-01,161,21,64,0,0,1741655
43,2022-02,190,23,118,0,0,1814283
44,2022-03,155,12,93,0,0,1849298
45,2022-04,120,6,81,5,0,1520012
46,2022-05,147,12,67,0,0,1559876
47,2022-06,133,9,48,0,0,1599740
48,2022-07,159,7,59,0,0,1639604
49,2022-08,131,6,76,11,0,1679468
50,2022-09,96,10,81,53,0,1719332
51,2022-10,109,38,91,3,0,1761915
52,2022-11,6,1,13,0,0,1810105
53,2022-12,119,20,78,0,0,1882391
