"Date","Battles","Explosions","Protests","Riots","Development","Violence","Floods","Storms","IDP"
2018-07-01,5,0,1,0,1,9,18,3,27347
2018-08-01,7,3,3,2,3,3,211,4,27571
2018-09-01,8,5,4,2,11,20,33,0,38982
2018-10-01,9,3,16,1,12,19,3,0,39731
2018-11-01,15,2,24,11,15,20,0,0,37367
2018-12-01,11,4,11,4,11,21,0,0,47826
2019-01-01,9,3,32,3,4,41,0,0,81964
2019-02-01,20,3,11,5,16,17,0,0,112057
2019-03-01,14,6,5,3,8,31,0,0,135589
2019-04-01,18,2,18,3,8,52,0,3,161217
2019-05-01,16,2,23,5,13,25,4,0,171994
2019-06-01,17,3,11,3,10,26,0,0,219756
2019-07-01,26,4,3,0,15,29,21,0,237769
2019-08-01,15,5,5,4,7,25,11,3,288994
2019-09-01,12,5,9,0,9,25,9,0,289591
2019-10-01,21,4,10,0,8,38,0,0,486360
2019-11-01,23,6,1,0,5,25,0,0,523196
2019-12-01,21,9,8,1,6,21,0,0,560033
2020-01-01,15,10,8,0,12,39,0,0,613792
2020-02-01,18,7,5,3,2,28,0,0,779741
2020-03-01,27,4,19,2,8,30,0,0,838543
2020-04-01,28,8,3,4,17,22,1,3,848329
2020-05-01,37,12,4,2,9,34,0,14,884900
2020-06-01,20,6,7,0,13,21,5,10,921471
2020-07-01,23,7,8,2,22,27,0,0,978744
2020-08-01,19,5,6,2,18,28,0,0,1013234
2020-09-01,22,9,7,0,8,35,3,0,1034609
2020-10-01,18,3,3,1,4,26,0,0,1042188
2020-11-01,9,3,2,2,7,25,0,0,1049767
2020-12-01,7,2,5,1,5,22,0,0,1074993
2021-01-01,15,2,3,1,11,44,0,0,1097462
2021-02-01,17,1,5,2,15,32,0,3,1121960
2021-03-01,15,2,9,4,10,31,0,3,1147699
2021-04-01,20,16,8,3,19,52,0,3,1218754
2021-05-01,20,27,14,11,25,78,4,77,1253416
2021-06-01,34,26,8,3,25,69,6,17,1312071
2021-07-01,20,35,42,0,20,74,0,0,1368164
2021-08-01,34,48,11,5,16,41,60,0,1423378
2021-09-01,21,42,5,5,31,40,11,0,1407685
2021-10-01,34,82,7,2,51,86,3,0,1481701
2021-11-01,35,29,27,9,62,38,0,0,1501775
2021-12-01,39,50,7,4,59,75,0,0,1579976
2022-01-01,56,57,12,9,64,48,0,0,1741655
2022-02-01,50,75,23,0,118,65,0,0,1814283
2022-03-01,51,43,9,3,93,61,0,0,1849298
2022-04-01,40,26,6,0,81,54,5,0,1520012
2022-05-01,53,37,8,4,67,57,0,0,1559876
2022-06-01,46,40,4,5,48,47,0,0,1599740
2022-07-01,46,43,5,2,59,70,0,0,1639604
2022-08-01,35,56,4,2,76,40,11,0,1679468
2022-09-01,37,25,9,1,81,34,53,0,1719332
2022-10-01,36,30,29,9,91,43,3,0,1761915
2022-11-01,3,1,1,0,13,2,0,0,1810105
2022-12-01,33,22,15,5,78,64,0,0,1882391
