Date,Region,Floods,Storms
2018-01,Centre-Nord,0.0,3.0
2018-03,Boucle du Mouhoun,3.0,0.0
2018-04,Centre-Ouest,0.0,3.0
2018-05,Centre-Nord,6.0,17.0
2018-05,Centre-Ouest,0.0,3.0
2018-05,Centre-Sud,0.0,8.0
2018-05,Haut-Bassins,3.0,0.0
2018-05,Nord,3.0,0.0
2018-06,Centre-Nord,3.0,0.0
2018-06,Centre-Ouest,0.0,3.0
2018-06,Centre-Sud,0.0,3.0
2018-06,Nord,6.0,5.0
2018-06,Plateau-Central,3.0,7.0
2018-07,Centre,6.0,0.0
2018-07,Centre-Nord,0.0,3.0
2018-07,Nord,6.0,0.0
2018-07,Plateau-Central,3.0,0.0
2018-07,Sud-Ouest,3.0,0.0
2018-08,Boucle du Mouhoun,48.0,0.0
2018-08,Cascades,7.0,0.0
2018-08,Centre-Est,12.0,0.0
2018-08,Centre-Nord,59.0,0.0
2018-08,Centre-Ouest,18.0,0.0
2018-08,Centre-Sud,3.0,0.0
2018-08,Est,3.0,0.0
2018-08,Haut-Bassins,9.0,0.0
2018-08,Nord,27.0,4.0
2018-08,Plateau-Central,12.0,0.0
2018-08,Sahel,13.0,0.0
2018-09,Boucle du Mouhoun,3.0,0.0
2018-09,Centre,2.0,0.0
2018-09,Centre-Nord,12.0,0.0
2018-09,Est,4.0,0.0
2018-09,Haut-Bassins,9.0,0.0
2018-09,Sud-Ouest,3.0,0.0
2018-10,Cascades,3.0,0.0
2019-04,Plateau-Central,0.0,3.0
2019-05,Plateau-Central,4.0,0.0
2019-07,Boucle du Mouhoun,6.0,0.0
2019-07,Centre-Ouest,3.0,0.0
2019-07,Haut-Bassins,6.0,0.0
2019-07,Sud-Ouest,6.0,0.0
2019-08,Centre,2.0,0.0
2019-08,Haut-Bassins,6.0,0.0
2019-08,Nord,3.0,3.0
2019-09,Haut-Bassins,6.0,0.0
2019-09,Sud-Ouest,3.0,0.0
2020-04,Centre-Nord,1.0,0.0
2020-04,Sud-Ouest,0.0,3.0
2020-05,Centre-Sud,0.0,11.0
2020-05,Plateau-Central,0.0,3.0
2020-06,Centre-Nord,5.0,0.0
2020-06,Centre-Sud,0.0,3.0
2020-06,Nord,0.0,3.0
2020-06,Plateau-Central,0.0,4.0
2020-09,Plateau-Central,3.0,0.0
2021-02,Sahel,0.0,3.0
2021-03,Sahel,0.0,3.0
2021-04,Nord,0.0,3.0
2021-05,Boucle du Mouhoun,0.0,3.0
2021-05,Centre-Est,0.0,3.0
2021-05,Centre-Nord,4.0,12.0
2021-05,Centre-Ouest,0.0,3.0
2021-05,Centre-Sud,0.0,20.0
2021-05,Nord,0.0,24.0
2021-05,Sahel,0.0,12.0
2021-06,Boucle du Mouhoun,3.0,3.0
2021-06,Centre-Nord,0.0,3.0
2021-06,Nord,3.0,6.0
2021-06,Sud-Ouest,0.0,5.0
2021-08,Boucle du Mouhoun,25.0,0.0
2021-08,Centre-Ouest,6.0,0.0
2021-08,Est,3.0,0.0
2021-08,Haut-Bassins,14.0,0.0
2021-08,Sud-Ouest,12.0,0.0
2021-09,Boucle du Mouhoun,3.0,0.0
2021-09,Sud-Ouest,8.0,0.0
2021-10,Haut-Bassins,3.0,0.0
2022-04,Boucle du Mouhoun,1.0,0.0
2022-04,Centre-Ouest,4.0,0.0
2022-08,Boucle du Mouhoun,3.0,0.0
2022-08,Centre,2.0,0.0
2022-08,Centre-Sud,3.0,0.0
2022-08,Haut-Bassins,3.0,0.0
2022-09,Boucle du Mouhoun,3.0,0.0
2022-09,Centre-Nord,3.0,0.0
2022-09,Centre-Ouest,6.0,0.0
2022-09,Haut-Bassins,23.0,0.0
2022-09,Nord,12.0,0.0
2022-09,Plateau-Central,6.0,0.0
2022-10,Sud-Ouest,3.0,0.0
